id,label,type,level
Yuna,Yuna Liu,person,0
DataEng2023,Data Engineer (2023–2025),project,1
GenAI2024,GenAI Developer (2024–2025),project,1
InternVolvo2023,Intern: Battery Team (2023),project,1
InternCollector2022,Intern: Credit ML (2022),project,1
TeacherUmea,Teacher & Researcher,project,1
ResearcherWest,Researcher: Quant Methods,project,1

VolvoCars,Volvo Cars,company,2
CollectorBank,Collector Bank,company,2
UnivWest,University West,education,2

SQL,SQL,skill,3
Python,Python,skill,3
Azure,Azure,skill,3
PowerBI,Power BI,skill,3
Snowflake,Snowflake,skill,3
Matillion,Matillion,skill,3
ML,Machine Learning,skill,3
Databricks,Databricks,skill,3
Streamlit,Streamlit,skill,3
